title,description,url,cover,categoryName,recipe,protein,carbs,fat,fiber,calories
Granola Crocante com Clara de Ovo,Granola caseira crocante e saudável.,assets/videos/Brownie-proteico.mp4,https://images.unsplash.com/photo-1526318896980-cf78c088247c?w=400&h=300&fit=crop,Receitas Fit,Receita simulada para granola crocante com clara de ovo.,5.8,22.4,5.8,2.2,165
Iogurte Natural Caseiro,Aprenda a fazer iogurte natural em casa.,assets/videos/Brownie-no-Pote.mp4,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=400&h=300&fit=crop,Receitas Fit,Receita simulada para iogurte natural caseiro.,3,23.6,6.7,1,167
Legumes Assados,Receita simples e deliciosa de legumes assados.,assets/videos/Bolo-de-Cenoura.mp4,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=400&h=300&fit=crop,Pratos Salgados,Receita simulada para legumes assados.,3.7,24.8,4,1.6,150
Mingau de Aveia,Mingau saudável e reconfortante feito com aveia.,assets/videos/Cuca-de-Uva-e-Banana.mp4,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=400&h=300&fit=crop,Café da Manhã,Receita simulada para mingau de aveia.,4.4,26,4.9,2.2,166
Mousse de 2 Ingredientes,Uma mousse deliciosa e simples de fazer.,assets/videos/Cupcake-de-Banana.mp4,https://images.unsplash.com/photo-1624353365286-3f8d62daad51?w=400&h=300&fit=crop,Sobremesas,Receita simulada para mousse de 2 ingredientes.,5.1,20,5.8,1,153
Mousse de Morango,Sobremesa leve e cremosa de morango.,assets/videos/Bolo-de-Limao.mp4,https://images.unsplash.com/photo-1582484427355-d136b6255271?w=400&h=300&fit=crop,Sobremesas,Receita simulada para mousse de morango.,5.8,21.2,6.7,1.6,168
Nega Maluca,Bolo de chocolate tradicional e irresistível.,assets/videos/Bolo-de-Chocolate.mp4,https://images.unsplash.com/photo-1586985289688-ca3cf47d3e6e?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para nega maluca.,3,22.4,4,2.2,138
Omelete com Pão,Uma receita prática de omelete com pão.,assets/videos/Bolo-de-Cenoura.mp4,https://images.unsplash.com/photo-1525351326368-efbb5cb6814d?w=400&h=300&fit=crop,Pratos Salgados,Receita simulada para omelete com pão.,3.7,23.6,4.9,1,153
Pão com Ovo Saborar,Pão com ovo cheio de sabor.,assets/videos/Bolo-de-Cenoura.mp4,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=400&h=300&fit=crop,Café da Manhã,Receita simulada para pão com ovo saborar.,4.4,24.8,5.8,1.6,169
Pão de Queijo Crocante,Pão de queijo com textura crocante e deliciosa.,assets/videos/Bolo-de-pote-proteico.mp4,https://images.unsplash.com/photo-1618897996318-5a901fa6ca71?w=400&h=300&fit=crop,Café da Manhã,Receita simulada para pão de queijo crocante.,5.1,26,6.7,2.2,185
Pão Integral,Receita saudável de pão integral caseiro.,assets/videos/Bolo-de-Limao.mp4,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&h=300&fit=crop,Café da Manhã,Receita simulada para pão integral.,5.8,20,4,1,139
Salada Temperada,Receita de salada temperada para refeições leves.,assets/videos/Cuca-de-Uva-e-Banana.mp4,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=400&h=300&fit=crop,Pratos Salgados,Receita simulada para salada temperada.,3,21.2,4.9,1.6,141
Snack Crocante e Maionese Caseira,Delicioso snack com maionese caseira.,assets/videos/Cupcake-de-Banana.mp4,https://images.unsplash.com/photo-1599490659213-e2b9527bd087?w=400&h=300&fit=crop,Pratos Salgados,Receita simulada para snack crocante e maionese caseira.,3.7,22.4,5.8,2.2,157
Sobremesa de Morango,Uma sobremesa deliciosa de morango.,assets/videos/Bolo-de-Limao.mp4,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,Sobremesas,Receita simulada para sobremesa de morango.,4.4,23.6,6.7,1,172
Torta de Banana Fácil,Receita prática e deliciosa de torta de banana.,assets/videos/Cupcake-de-Banana.mp4,https://images.unsplash.com/photo-1481391319762-47dff72954d9?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para torta de banana fácil.,5.1,24.8,4,1.6,156
Tudo Sobre Omega 3,Informações importantes sobre Omega 3.,assets/videos/Brownie-no-Pote.mp4,https://images.unsplash.com/photo-1505576399279-565b52d4ac71?w=400&h=300&fit=crop,Saúde e Nutrição,Receita simulada para tudo sobre omega 3.,5.8,26,4.9,2.2,171
